"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript", "JSON with Comments", "CSS", "Groovy", "JSON", "Batch", "Properties", "XML", "kotlin", "Markdown", "Objective-C++", "Objective-C", "Ruby", "Swift", "comment", "blank", "total"
"/Users/david/Desktop/Orbit/app/(app)/(profile)/_layout.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"/Users/david/Desktop/Orbit/app/(app)/(profile)/index.tsx", "TypeScript JSX", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 181
"/Users/david/Desktop/Orbit/app/(app)/_layout.tsx", "TypeScript JSX", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 45
"/Users/david/Desktop/Orbit/app/(app)/onboarding.tsx", "TypeScript JSX", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18, 192
"/Users/david/Desktop/Orbit/app/(auth)/(onboarding)/_layout.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/david/Desktop/Orbit/app/(auth)/(onboarding)/index.tsx", "TypeScript JSX", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 65
"/Users/david/Desktop/Orbit/app/(auth)/_layout.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 35
"/Users/david/Desktop/Orbit/app/(auth)/reset-password.tsx", "TypeScript JSX", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 149
"/Users/david/Desktop/Orbit/app/(auth)/sign-in.tsx", "TypeScript JSX", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15, 208
"/Users/david/Desktop/Orbit/app/(auth)/sign-up.tsx", "TypeScript JSX", 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 265
"/Users/david/Desktop/Orbit/app/_layout.tsx", "TypeScript JSX", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 93
"/Users/david/Desktop/Orbit/app/index.tsx", "TypeScript JSX", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24, 248
"/Users/david/Desktop/Orbit/babel.config.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/Users/david/Desktop/Orbit/components.json", "JSON", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/david/Desktop/Orbit/hooks/useFollow.ts", "TypeScript", 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24, 206
"/Users/david/Desktop/Orbit/hooks/useUserData.ts", "TypeScript", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 125
"/Users/david/Desktop/Orbit/index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/david/Desktop/Orbit/ios/Orbit/AppDelegate.h", "Objective-C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"/Users/david/Desktop/Orbit/ios/Orbit/AppDelegate.mm", "Objective-C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 7, 14, 63
"/Users/david/Desktop/Orbit/ios/Orbit/Images.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/david/Desktop/Orbit/ios/Orbit/Images.xcassets/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/david/Desktop/Orbit/ios/Orbit/Images.xcassets/SplashScreenBackground.colorset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/david/Desktop/Orbit/ios/Orbit/Orbit-Bridging-Header.h", "Objective-C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"/Users/david/Desktop/Orbit/ios/Orbit/SplashScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 34
"/Users/david/Desktop/Orbit/ios/Orbit/main.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 4, 11
"/Users/david/Desktop/Orbit/ios/Orbit/noop-file.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 5
"/Users/david/Desktop/Orbit/ios/Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 9, 12, 77
